company_id,company_name
3,"Sapphire Software Parent, LLC"
4,"SMITH MICRO SOFTWARE, INC.  (SMSI)"
5,"UserFirst Software, Inc."
6,KHT Software Inc.
7,"eMotive Software, Inc."
8,"Flaunt Software, Inc."
9,"Board Management Software, Inc."
20,"ReSpark Software, Inc."
21,"Kepler Software, Inc."
22,Blacksmith Software Inc.
23,Una Software US Corp.
25,Nova AI Software Inc.
26,InfraSight Software Corp
28,"Boom Software, Inc."
33,Appraisal Dream LLC
34,"2ClickFit, Inc."
35,"Platform VCS I, LLC"
36,"Firebird Music Holdings, LLC"
37,"DF Platform Exchange, LLC"
38,"Platform Golf, Ltd."
39,MPS Platform Services Inc.
40,EQUAL PLATFORM SOLUTIONS INC
