company_id,company_name,domain,employee_count,funding_stage,funding_date,funding_amount_usd,industry,biz_location,current_tool_mentioned,is_saas,is_existing_customer,first_seen_at
89,LaSalle Network,thelasallenetwork.com,,,,,,,,,False,2026-07-12 00:14:37.293533+00:00
90,Kforce Technology Staffing,kforce.com,,,,,,,,,False,2026-07-12 00:14:37.869315+00:00
91,GoodLeap,goodleap.nl,,,,,,,,,False,2026-07-12 00:14:38.440440+00:00
92,Robert Half,roberthalf.com,,,,,,,,,False,2026-07-12 00:14:39.015661+00:00
93,Braums,braums.com.au,,,,,,,,,False,2026-07-12 00:14:39.680955+00:00
94,Tandym Tech,tandymgroup.com,,,,,,,,,False,2026-07-12 00:14:40.253113+00:00
95,Mastercard,mastercard.com,,,,,,,,,False,2026-07-12 00:14:40.818440+00:00
96,Anduril Industries,anduril.com,,,,,,,,,False,2026-07-12 00:14:41.388741+00:00
97,Citizens,citizensbank.com,,,,,,,,,False,2026-07-12 00:14:42.005565+00:00
98,Medline Industries,medline.com,,,,,,,,,False,2026-07-12 00:14:42.628137+00:00
99,Capital One,capitalone.com,,,,,,,,,False,2026-07-12 00:14:43.203336+00:00
100,American Express,americanexpress.com,,,,,,,,,False,2026-07-12 00:14:43.849359+00:00
101,Oracle,oracle.com,,,,,,,,,False,2026-07-12 00:14:44.419793+00:00
157,BC Forward,bcforward.com,,,,,,,,,False,2026-07-12 01:20:23.471943+00:00
288,AI text Detector,pangram.com,,,,,,,,,False,2026-07-13 01:58:45.077595+00:00
289,lumi - sleep lock & alarm,google.com,,,,,,,,,False,2026-07-13 01:58:45.670219+00:00
290,a.v.r.i.z ,avriz.com,,,,,,,,,False,2026-07-13 01:58:46.247864+00:00
291,Solvemeet,solvemeet.com,,,,,,,,,False,2026-07-13 01:58:46.868657+00:00
292,New Era Exploration,neweraexploration.com,,,,,,,,,False,2026-07-13 01:58:47.513757+00:00
293,CoverMyCamera,privacyguides.net,,,,,,,,,False,2026-07-13 01:58:48.106154+00:00
294,eatsTO — What's the move tonight?,tiktok.com,,,,,,,,,False,2026-07-13 01:58:48.701767+00:00
295,ThumblifyAI Agent,thumblifyai.com,,,,,,,,,False,2026-07-13 01:58:49.286442+00:00
296,Py Manager,python.org,,,,,,,,,False,2026-07-13 01:58:49.888213+00:00
297,Picto,picto.lu,,,,,,,,,False,2026-07-13 01:58:50.600418+00:00
298,Make Look Scanned,lookscanned.io,,,,,,,,,False,2026-07-13 01:58:51.223509+00:00
299,VeritasGraph,pypi.org,,,,,,,,,False,2026-07-13 01:58:51.901164+00:00
300,LINKUP,linkup.com,,,,,,,,,False,2026-07-13 01:58:52.499766+00:00
301,Wordmancer,wordtech.com,,,,,,,,,False,2026-07-13 01:58:53.150796+00:00
302,TradeDesk.now,thetradedesk.com,,,,,,,,,False,2026-07-13 01:58:53.726193+00:00
303,Lolo Downloader,lolo.id,,,,,,,,,False,2026-07-13 01:58:54.296855+00:00
304,PureFeed,purefeed.com,,,,,,,,,False,2026-07-13 01:58:54.922347+00:00
305,LockIn for Chrome,,,,,,,,,,False,2026-07-13 01:58:55.531212+00:00
306,Long-term Software Governance,corporatek.com,,,,,,,,,False,2026-07-13 01:58:56.176748+00:00
307,ChatNorris,service.gov.uk,,,,,,,,,False,2026-07-13 01:58:56.822325+00:00
333,HydroJug,thehydrojug.com,,,,,,,,,False,2026-07-13 02:02:23.252922+00:00
334,Optomi,optomi.com,,,,,,,,,False,2026-07-13 02:02:23.826925+00:00
335,"Odesus, Inc.",odesus.com,,,,,,,,,False,2026-07-13 02:02:24.378976+00:00
336,"Visium Resources, Inc.",visiumresources.com,,,,,,,,,False,2026-07-13 02:02:25.049928+00:00
337,Symbium,symbium.com,,,,,,,,,False,2026-07-13 02:02:25.659191+00:00
340,HireTalent - Staffing & Recruiting Firm,hiretalent.com,,,,,,,,,False,2026-07-13 02:02:27.407502+00:00
347,D24 Search,d24search.io,,,,,,,,,False,2026-07-13 02:02:31.602455+00:00
420,Miller Electric Mfg. LLC,millerwelds.com,,,,,,,,,False,2026-07-13 04:46:22.606344+00:00
425,Holley Performance,holley.com,,,,,,,,,False,2026-07-13 04:46:25.452890+00:00
429,Kelly Services,kellyservices.com.mx,,,,,,,,,False,2026-07-13 04:46:28.006431+00:00
444,Gatherly,gatherly.io,,,,,,,,,False,2026-07-13 04:46:36.651452+00:00
445,Avintra,avintra.net,,,,,,,,,False,2026-07-13 04:46:37.218515+00:00
446,Lumio,lumio.com,,,,,,,,,False,2026-07-13 04:46:37.789515+00:00
447,seo.bike,1digitalagency.com,,,,,,,,,False,2026-07-13 04:46:38.354174+00:00
448,NotIncluded ,bcorporation.net,,,,,,,,,False,2026-07-13 04:46:38.918282+00:00
449,Alfred Scholar,alfredscholar.com,,,,,,,,,False,2026-07-13 04:46:39.489221+00:00
450,NotiText,salesforce.com,,,,,,,,,False,2026-07-13 04:46:40.069128+00:00
451,CineKive,reddit.com,,,,,,,,,False,2026-07-13 04:46:40.636835+00:00
452,Bokkiman,pokemon.com,,,,,,,,,False,2026-07-13 04:46:41.214335+00:00
491,Public Health Solutions,healthsolutions.org,,,,,,,,,False,2026-07-13 05:17:20.311716+00:00
493,RemX,remx.xyz,,,,,,,,,False,2026-07-13 05:17:21.453332+00:00
495,Beacon Talent,beacontalent.co.uk,,,,,,,,,False,2026-07-13 05:17:22.605582+00:00
498,Mondo,mondo.com,,,,,,,,,False,2026-07-13 05:17:24.345814+00:00
499,Atria Health and Research Institute,atria.org,,,,,,,,,False,2026-07-13 05:17:24.900907+00:00
525,JustVibe,justvibe.com,,,,,,,,,False,2026-07-13 05:17:40.106213+00:00
599,ServiceBeard,teahose.com,,,,,,,,,False,2026-07-13 06:16:51.617793+00:00
600,FetchSandbox,fetchsandbox.com,,,,,,,,,False,2026-07-13 06:16:52.225408+00:00
601,"KwizzEase: DeepWork, Flash Cards, Quiz",,,,,,,,,,False,2026-07-13 06:16:52.819474+00:00
603,Second Brain for AI v2,fortelabs.com,,,,,,,,,False,2026-07-13 06:16:53.979144+00:00
604,Miora,miora.org,,,,,,,,,False,2026-07-13 06:16:54.579268+00:00
605,Offer Max,offermax.ai,,,,,,,,,False,2026-07-13 06:16:55.161570+00:00
606,LeadSpawn — Business Leads in Seconds,convergehub.com,,,,,,,,,False,2026-07-13 06:16:55.731456+00:00
664,SlotPulse,slotpulse.net,,,,,,,,,False,2026-07-13 07:20:04.600168+00:00
665,Sam / EUTA,thebadassceo.com,,,,,,,,,False,2026-07-13 07:20:05.174748+00:00
666,BTCC Referral Code Unlock Exclusive ,audible.com,,,,,,,,,False,2026-07-13 07:20:05.774774+00:00
667,OnDevice OCR Pro,ondeviceocr.com,,,,,,,,,False,2026-07-13 07:20:06.356650+00:00
668,JoinCalc,joincalc.com,,,,,,,,,False,2026-07-13 07:20:06.937317+00:00
669,RailMood,railmood.com,,,,,,,,,False,2026-07-13 07:20:07.511388+00:00
670,Green the Chain ,greenthechain.com,,,,,,,,,False,2026-07-13 07:20:08.108980+00:00
671,Sayonara Beauty Clinic & Acadamy,sayonarabeautyclinic.com,,,,,,,,,False,2026-07-13 07:20:08.765064+00:00
672,[MAC] Claude Notch Usage Companion,,,,,,,,,,False,2026-07-13 07:20:09.320135+00:00
673,Two Paths,twopathsllc.org,,,,,,,,,False,2026-07-13 07:20:09.899830+00:00
674,LogBone — AI Fitness Coach & PR Tracker,apple.com,,,,,,,,,False,2026-07-13 07:20:10.471386+00:00
